"Browser Version","Market Share Perc. (Mar 2017 - Mar 2018)"
"Chrome for Android",50.65
"Android 0",3.38
"Chrome 63.0",3.16
"Chrome 58.0",2.56
"Chrome 61.0",2.33
"Chrome 60.0",2.1
"Chrome 59.0",1.87
"Chrome 56.0",1.69
"Chrome 57.0",1.67
"Firefox 52.0",1.66
"Chrome 62.0",1.58
"Chrome 64.0",1.48
"Firefox 57.0",1.36
"Safari iPhone",1.28
"Samsung Internet 5.4",1.19
"Firefox 54.0",1.17
"Firefox 53.0",1.09
"IE 11.0",1.05
"IEMobile 11.0",1.04
"Chrome 49.0",1
"Samsung Internet 3.3",0.88
"Firefox 56.0",0.87
"Samsung Internet 4.0",0.76
"Firefox 55.0",0.76
"Firefox 58.0",0.75
"Samsung Internet 6.2",0.72
"Edge 14",0.59
"Samsung Internet 3.5",0.58
"Chrome 65.0",0.51
"Edge 15",0.51
"Opera 43.0",0.43
"Opera 49.0",0.41
"Firefox 51.0",0.39
"Opera 48.0",0.36
"Opera 45.0",0.33
"Opera 46.0",0.32
"Opera 47.0",0.31
"Opera 50.0",0.29
"Safari iPad",0.26
"Samsung Internet 2.0",0.25
"Safari 11.0",0.25
"Safari 10.1",0.24
"Edge 16",0.23
"Firefox 59.0",0.22
"Opera 51.0",0.22
"Samsung Internet 6.4",0.17
"Samsung Internet 5.2",0.17
"Opera 44.0",0.16
"Samsung Internet 2.1",0.16
"Opera 36.0",0.15
"Opera 0",0.15
"Chrome 55.0",0.13
"Safari 10.0",0.11
"Edge 13",0.1
"Opera 42.7",0.09
"Firefox 47.0",0.09
"Chrome for iPhone",0.09
"Chrome 57.1",0.08
"Firefox 50.0",0.08
"Firefox 48.0",0.08
"Chrome 51.0",0.08
"Samsung Internet 5.0",0.08
"Opera Mini 4.5",0.07
"Chrome 46.0",0.07
"Opera 12.1",0.07
"IEMobile 0",0.06
"Nokia 0",0.06
"Safari 9.1",0.06
"Firefox 41.0",0.06
"Opera Mini 8.0",0.06
"Firefox 45.0",0.06
"Chrome 54.0",0.06
"IE 8.0",0.05
"Chrome 29.0",0.05
"Opera Mini 7.1",0.05
"Sony PS4 0",0.05
"Opera 32.0",0.05
"IE 10.0",0.04
"Firefox 43.0",0.04
"Chrome 43.0",0.04
"Chrome 53.0",0.04
"Samsung Internet 4.2",0.04
"Opera 28.0",0.04
"Firefox 49.0",0.04
"Opera 44.1",0.04
"IEMobile 10.0",0.03
"Opera Mini 20.0",0.03
"Chrome 34.0",0.03
"IE 9.0",0.03
"Maxthon 4.4",0.03
"Chrome iPad",0.03
"Opera Mini 4.4",0.03
"Chrome 38.0",0.03
"Opera 30.0",0.03
"Chrome 39.0",0.03
"Opera Mini 4.2",0.03
"IEMobile 9.0",0.03
"Opera 42.0",0.03
"Chrome 52.0",0.03
"Firefox 38.0",0.03
"BlackBerry 0",0.03
"Opera 26.0",0.03
"Chrome 47.0",0.02
"Chrome 50.0",0.02
"Opera 37.0",0.02
"Edge 12",0.02
"Chrome 31.0",0.02
"Opera 31.0",0.02
"Chrome 40.0",0.02
"Opera 24.0",0.02
"Opera 29.0",0.02
"Edge 17",0.02
"Chromium 25.0",0.02
"Maxthon 4.9",0.02
"Firefox 44.0",0.02
"Safari 9.0",0.02
"Chrome 48.0",0.02
"Chrome 58.8",0.02
"Firefox 40.0",0.02
"Dolfin 3.0",0.02
"Chrome 36.0",0.02
"Chrome 11.0",0.02
"Opera 22.0",0.02
"Firefox 46.0",0.01
"Samsung Internet 1.0",0.01
"Opera 20.0",0.01
"Chrome 37.0",0.01
"Samsung Internet 1.1",0.01
"Opera 27.0",0.01
"Dolfin 2.0",0.01
"Opera Mini 4.1",0.01
"Chrome 58.1",0.01
"Maxthon 5.1",0.01
"Chrome 35.0",0.01
"Firefox 42.0",0.01
"Firefox 31.0",0.01
"Chrome 56.1",0.01
"Chrome 42.0",0.01
"Firefox 39.0",0.01
"Chrome 44.0",0.01
"UC Browser 10.8",0.01
"Chrome 54.2",0.01
"Chrome 57.2",0.01
"Safari 8.0",0.01
"Opera Mini 32.0",0.01
"Opera 45.1",0.01
"Opera 25.0",0.01
"Other",0.88
