"Browser Version","Market Share Perc. (June 2017 - Mar 2018)"
"Chrome 63.0",11.11
"Chrome 61.0",8.18
"Chrome 60.0",7.38
"Chrome 59.0",6.43
"Chrome 62.0",5.54
"Chrome 64.0",5.16
"Chrome 58.0",4.82
"Firefox 57.0",4.77
"Firefox 54.0",4.15
"Firefox 56.0",3.02
"Chrome for Android",2.93
"IE 11.0",2.8
"Firefox 55.0",2.68
"Firefox 58.0",2.61
"Chrome 49.0",2.54
"Firefox 52.0",2.45
"Chrome 65.0",1.79
"Firefox 53.0",1.52
"Opera 49.0",1.48
"Opera 48.0",1.27
"Edge 15",1.16
"Opera 46.0",1.13
"Opera 47.0",1.1
"Opera 50.0",1.02
"Safari 11.0",0.9
"Edge 14",0.87
"Opera 45.0",0.84
"Edge 16",0.79
"Opera 51.0",0.78
"Firefox 59.0",0.78
"Safari 10.1",0.65
"Chrome 57.0",0.52
"Opera 36.0",0.4
"Chrome 56.0",0.25
"Chrome 57.1",0.21
"Chrome 55.0",0.21
"Firefox 47.0",0.2
"Firefox 48.0",0.19
"Chrome 29.0",0.19
"Firefox 41.0",0.19
"Chrome 51.0",0.17
"Opera 12.1",0.16
"Firefox 50.0",0.15
"IE 8.0",0.15
"Chrome 46.0",0.14
"Safari 10.0",0.14
"Safari 9.1",0.14
"Edge 13",0.13
"Firefox 51.0",0.13
"IE 10.0",0.12
"Firefox 45.0",0.11
"Chrome 54.0",0.11
"Firefox 43.0",0.1
"Chrome 34.0",0.09
"Chrome 53.0",0.08
"Chrome 38.0",0.08
"IE 9.0",0.07
"Firefox 49.0",0.07
"Maxthon 4.4",0.07
"Edge 17",0.07
"Chrome 39.0",0.06
"Chrome 58.8",0.06
"Edge 12",0.06
"Chrome 31.0",0.06
"Chrome 43.0",0.05
"Firefox 38.0",0.05
"Chromium 25.0",0.05
"Chrome 47.0",0.05
"Chrome 50.0",0.05
"Opera 43.0",0.05
"Opera 42.0",0.05
"Maxthon 5.1",0.05
"Maxthon 4.9",0.04
"Safari 9.0",0.04
"Chrome 52.0",0.04
"Chrome 48.0",0.04
"Chrome 58.1",0.04
"Firefox 44.0",0.04
"Vivaldi 1.91",0.03
"Firefox 46.0",0.03
"Chrome 57.2",0.03
"Firefox 31.0",0.03
"Chrome 37.0",0.03
"Firefox 40.0",0.03
"Chrome 11.0",0.03
"Firefox 39.0",0.03
"Opera 52.0",0.03
"Chrome 36.0",0.03
"Firefox 42.0",0.03
"Chrome 44.0",0.03
"Safari 8.0",0.03
"Chrome 26.0",0.02
"Chrome 22.0",0.02
"Chrome 45.0",0.02
"Firefox 40.1",0.02
"Chrome 54.2",0.02
"Chrome 35.0",0.02
"Maxthon 5.0",0.02
"Chrome 40.0",0.02
"Chrome 18.0",0.02
"Safari 5.1",0.02
"Coc Coc 63.4",0.02
"Chrome 33.0",0.02
"Opera 37.0",0.02
"Vivaldi 1.94",0.02
"Firefox 37.0",0.02
"Opera 44.0",0.02
"Chrome 41.0",0.02
"Vivaldi 1.93",0.02
"Firefox 35.0",0.02
"UC Browser 7.0",0.02
"Safari 3.0",0.02
"Opera 35.0",0.02
"Firefox 3.6",0.02
"Firefox 34.0",0.02
"Opera 42.7",0.02
"UC Browser 6.1",0.01
"Firefox 36.0",0.01
"Firefox 18.0",0.01
"360 Safe Browser 0",0.01
"Opera 39.0",0.01
"Opera 38.0",0.01
"Firefox 10.0",0.01
"Chrome 58.3",0.01
"Chrome 58.7",0.01
"Firefox 12.0",0.01
"Opera 41.0",0.01
"Opera 32.0",0.01
"Chrome 56.1",0.01
"Firefox 33.0",0.01
"Chrome 58.5",0.01
"Chromium 58.0",0.01
"Chrome 57.3",0.01
"Firefox 16.0",0.01
"Firefox 28.0",0.01
"Opera 12.5",0.01
"Chromium 62.0",0.01
"Chrome 42.0",0.01
"Vivaldi 1.95",0.01
"Opera 40.0",0.01
"Chrome 58.2",0.01
"Vivaldi 1.92",0.01
"Opera 30.0",0.01
"Firefox 29.0",0.01
"Phantom 0",0.01
"Chromium 63.0",0.01
"Other",0.63
